name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
TX_REFUND_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
TX_REFUND_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
LAST_MAXMIND_MIN_FRAUD_ALERT_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
LAST_MAXMIND_MIN_FRAUD_ALERT_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
LAST_MAXMIND_MIN_FRAUD_ALERT_NEW_RISK_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
LAST_MAXMIND_MIN_FRAUD_ALERT_REASON_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
MAXMIND_MIN_FRAUD_ALERTS,ARRAY,COLUMN,Y,,N,N,,,,,
COUNT_MAXMIND_MIN_FRAUD_ALERTS,"NUMBER(18,0)",COLUMN,Y,,N,N,,,,,
BUYER_RETRY_TX_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NSURE_RETRY_TX_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LAST_RETRY_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
FIRST_NSURE_TX_ATTEMPT_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
FIRST_USER_TX_EVENT_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
IS_USER_FIRST_TX_EVENT,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
FIRST_USER_ACCOUNT_ACTIVITY_DATE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
FIRST_SIGN_IN_IDENTITY_PROVIDER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FIRST_USER_FAILED_KYC_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
FIRST_USER_SUCCESSFULLY_FULFILLED_KYC_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
FIRST_USER_TRIGGERED_KYC_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
MODEL_MANAGER_TX_FEATURES_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
FIRST_MERCHANT_ACCEPTED_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
FIRST_PAYMENT_METHOD_ATTEMPT_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
FIRST_TX_ATTEMPT_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
DAYS_FROM_FIRST_TX_ATTEMPT_TO_TX,"NUMBER(24,6)",COLUMN,Y,,N,N,,,,,
DAYS_FROM_FIRST_USER_ACCOUNT_ACTIVITY_DATE_TO_TX,"NUMBER(24,6)",COLUMN,Y,,N,N,,,,,
FIRST_FRAUD_STATUS_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
IS_FRAUD_TX,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
IS_DISPUTED_NON_FRAUD_TX,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
PAYMENT_METHOD_COUNTRY_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
